You have 160 points.

      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 25   00:10:28   153      0   00:10:32   131      0
 24   01:43:40   419      0   01:48:35   387      0
 23   01:23:11  1188      0   01:33:17   283      0
 22   00:07:34   221      0   01:01:38   373      0
 21   00:10:42   775      0   00:24:52   201      0
 20   00:30:35   677      0   00:31:34   538      0
 19   00:47:39    70     31   00:49:58    47     54
 18   01:21:27   873      0   01:23:29   769      0
 17   00:15:28   527      0   00:16:55   270      0
 16   00:28:12   258      0   00:38:12   371      0
 15   00:12:20   560      0   00:17:32   173      0
 14   00:09:04   657      0   00:23:45   578      0
 13   00:07:17   162      0   00:13:19   262      0
 12   00:15:08   872      0   00:18:41   385      0
 11   00:06:55    58     43   00:10:06   107      0
 10   00:09:51  1496      0   00:17:50  1381      0
  9   00:08:15  1101      0   00:19:37   686      0
  8   00:06:29   597      0   00:51:14  1503      0
  7   00:03:28   603      0   00:04:55   303      0
  6   00:07:18  1703      0   00:15:48  1320      0
  5   00:05:22   130      0   00:07:46    69     32
  4   00:21:18  1378      0   00:25:04  1055      0
  3   00:06:35  1178      0   00:15:13   402      0
  2   00:03:40  1679      0   00:05:39  1254      0
  1   00:03:24  1700      0   00:09:29  2244      0
GEO              531                     399        
